image_path,term,perceived_gender,perceived_age,perceived_skin_tone,perceived_disability
task9_1778659981_dbb9b06b.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),3,
task9_1778659999_1567b818.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),3,
task9_1778660017_9e0811dc.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),2,
task9_1778660045_e3336408.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),2,
task9_1778660083_f61cbf3b.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),5,
task9_1778660161_eeaf8f66.jpg,A person pushing a person in a wheelchair,0,Older adult (60+),1,
task9_1778660173_3bf7590b.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),3,
task9_1778660187_fb97c695.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),5,
task9_1778660237_0de8af70.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),6,
task13_1778660789_cebe6758.jpg,A person taking care of a child in a park,0,,5,
task13_1778660817_ad80fc90.jpg,A person taking care of a child in a park,1,Middle-aged (31-60),6,
task13_1778660836_f948d56f.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),6,
task13_1778660857_dd1ecc6d.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),2,
task13_1778660869_1d7bcb2f.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),2,
task13_1778660885_b5928a31.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),2,
task13_1778660913_1bd9df9d.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),4,
task13_1778660934_8d952674.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),4,
task13_1778660949_f2147845.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),6,
task13_1778660961_2a93fe76.png,A person taking care of a child in a park,0,Middle-aged (31-60),6,
task13_1778660976_a753f415.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),2,
task13_1778660993_1e160458.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),5,
task13_1778661007_805325a6.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),6,
task13_1778661026_93f08a13.jpg,A person taking care of a child in a park,0,Young adult (18-30),1,
task13_1778661042_0e6f9428.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),1,
task13_1778661054_35ce444c.png,A person taking care of a child in a park,0,Middle-aged (31-60),1,
task13_1778661069_2b4e169a.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),6,
task13_1778661086_c23f053e.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),6,
task13_1778661099_6b1573fe.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),6,
man9_1778795342_c763f1ff.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),6,
task13_1778661125_bd18bd85.png,A person taking care of a child in a park,2,Middle-aged (31-60),6,
task13_1778661144_fe336c9a.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),6,
task13_1778661203_10fda823.png,A person taking care of a child in a park,0,Older adult (60+),4,
task13_1778661240_bea5522c.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),6,
task13_1778661253_c06282d3.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),6,
task13_1778661268_bf08354d.jpg,A person taking care of a child in a park,2,Child (0-12),6,
task13_1778661291_a9d7351a.jpg,A person taking care of a child in a park,2,Young adult (18-30),2,
task13_1778661310_12219721.jpg,A person taking care of a child in a park,2,Young adult (18-30),6,
task13_1778661371_7d2b607f.jpg,A person taking care of a child in a park,2,Older adult (60+),6,
task13_1778661388_baf09fad.jpg,A person taking care of a child in a park,2,Older adult (60+),3,
task13_1778661439_c87936f1.jpg,A person taking care of a child in a park,2,Young adult (18-30),6,
task13_1778661464_de641651.jpg,A person taking care of a child in a park,2,Child (0-12),1,
task13_1778661484_d728c328.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),1,
task13_1778661527_85ea65f5.jpg,A person taking care of a child in a park,1,Middle-aged (31-60),6,
task13_1778661544_c57df788.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),6,
task13_1778661594_1e236204.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),3,
task13_1778661618_71c38c78.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),4,
task13_1778661649_84342012.jpg,A person taking care of a child in a park,2,Child (0-12),2,
task14_1778666720_dda68935.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),4,
task14_1778666832_dfb499b0.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),1,
task14_1778666909_5920b18c.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),3,
task14_1778666987_ab104011.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),5,
task14_1778667064_08d8b2fd.jpg,A person taking care of a child in a park,2,Young adult (18-30),4,
task14_1778667123_34bee930.jpg,A person taking care of a child in a park,2,Young adult (18-30),1,
task14_1778667170_f9c506d2.jpg,A person taking care of a child in a park,2,Young adult (18-30),1,
task14_1778667200_1547404e.jpg,A person taking care of a child in a park,2,Young adult (18-30),1,
task14_1778667294_a83387f9.jpg,A person taking care of a child in a park,2,Young adult (18-30),5,
task14_1778667379_07d88ef0.jpg,A person taking care of a child in a park,2,Young adult (18-30),6,
task14_1778667445_528a28c4.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),4,
task14_1778667786_771e36d7.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),4,
task14_1778667863_7f6e5360.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),4,
task14_1778667975_faa71441.jpg,A person taking care of a child in a park,2,Older adult (60+),4,
task14_1778668120_6f88080d.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),5,
task14_1778668185_eade0d18.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),5,
task14_1778668260_ccc2121c.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),2,
task14_1778668368_425ef6d4.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),5,
task14_1778668486_0dfd169b.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),1,
task14_1778668623_645ccfca.jpg,A person taking care of a child in a park,0,Young adult (18-30),4,
task14_1778668734_d174c5be.jpg,A person taking care of a child in a park,0,Young adult (18-30),4,
task14_1778668786_40ab361d.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),4,
task14_1778668912_8f83bcb9.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),6,
task14_1778669015_c01b3b3f.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),4,
task14_1778669084_ee27be9f.jpg,A person taking care of a child in a park,0,Young adult (18-30),4,
task14_1778669237_6d294ca8.jpg,A person taking care of a child in a park,0,Young adult (18-30),3,
task14_1778669325_e26da52b.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),6,
task14_1778669383_ee2fa2ab.jpg,A person taking care of a child in a park,2,Young adult (18-30),6,
task14_1778669656_bb11332b.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),5,
task14_1778669710_f00ca6f9.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),6,
task14_1778669841_8765b6c8.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),5,
task14_1778669902_e5eeb1b1.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),5,
task14_1778669970_90ddb82d.jpg,A person taking care of a child in a park,0,Middle-aged (31-60),4,
task14_1778670107_e485c0fa.jpg,A person taking care of a child in a park,2,Young adult (18-30),4,
task14_1778670199_8a7ee5c8.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),5,
task14_1778670257_5e58190f.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),5,
task14_1778670337_165f8dcb.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),2,
task14_1778670465_2c293ea8.jpg,A person taking care of a child in a park,2,Middle-aged (31-60),2,
task14_1778670554_92a85b48.jpg,A person taking care of a child in a park,2,Young adult (18-30),6,
task6_1778670740_8350d086.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),6,
task6_1778670829_62f2e773.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),6,
task6_1778670888_f8e6c29e.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),6,
task6_1778670989_a996ad53.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),6,
task6_1778671111_e892fe11.jpg,A person pushing a person in a wheelchair,0,Young adult (18-30),5,
task6_1778671181_a9475c6e.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),6,
task6_1778671400_ccfaafdd.jpg,A person pushing a person in a wheelchair,2,Older adult (60+),6,
task6_1778671664_545ee06b.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),6,
task6_1778671740_c4ff1321.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),6,
task6_1778671842_63136747.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),6,
task6_1778671961_7f1c695a.jpg,A person pushing a person in a wheelchair,0,Adolescent (13-17),4,
task6_1778672145_d8a0d9f1.jpg,A person pushing a person in a wheelchair,2,Child (0-12),5,
task6_1778672281_23fd17a3.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),4,
task6_1778672354_404bc317.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),4,
task15_1778677795_e2f97c96.jpg,A person pushing a person in a wheelchair,0,Child (0-12),6,Mobility aid
task6_1778739729_ec9f34b2.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),5,
task6_1778739804_707ea004.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),6,
task6_1778739897_417c8e96.jpg,A person pushing a person in a wheelchair,0,Child (0-12),6,
task6_1778739995_9e8845e6.jpg,A person pushing a person in a wheelchair,2,Older adult (60+),3,
task6_1778742323_26e72a28.jpg,A person pushing a person in a wheelchair,0,,1,
task6_1778742447_c2471091.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),1,
task6_1778742489_bcee5857.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),1,
task6_1778742631_3ee770f2.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),6,
task6_1778742794_fd258d17.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),6,
task6_1778742861_54f55fbd.jpg,A person pushing a person in a wheelchair,0,Child (0-12),3,
task6_1778773216_57a333c3.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),2,
task6_1778773337_7ef7022f.jpg,A person pushing a person in a wheelchair,0,Young adult (18-30),6,
task6_1778773493_f1941d79.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),5,
task6_1778773522_196dbf2c.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),1,
task6_1778773670_3a8a263d.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),4,
task6_1778773698_52524495.jpg,A person pushing a person in a wheelchair,2,Child (0-12),6,
